id,title,genres,vote_average,vote_count,revenue,release_date,image_width,image_height
937249,57 Seconds,"['Thriller', 'Science Fiction', 'Action']",6.125,627,0,2023-09-29,500,750
575264,Mission: Impossible - Dead Reckoning Part One,"['Action', 'Thriller', 'Adventure']",7.5,5027,571125435,2023-07-08,500,750
299054,Expend4bles,"['Action', 'Adventure', 'Thriller']",6.072,1845,37917985,2023-09-15,500,750
678512,Sound of Freedom,"['Action', 'Drama']",7.956,2721,250600000,2023-07-03,500,750
1151534,Nowhere,"['Thriller', 'Drama']",7.311,1549,0,2023-09-29,500,750
968051,The Nun II,['Horror'],6.6,2432,269670590,2023-09-06,500,750
1008042,Talk to Me,['Horror'],7.136,3660,91959188,2023-07-26,500,750
980489,Gran Turismo,"['Adventure', 'Drama', 'Action']",7.707,3327,121700000,2023-08-09,500,750
961268,Ballerina,"['Action', 'Thriller']",7.007,677,0,2023-10-06,500,750
762430,Retribution,"['Thriller', 'Action', 'Adventure']",6.536,1340,18685751,2023-08-23,500,750
958006,The Kill Room,"['Comedy', 'Crime']",5.9,287,476375,2023-09-14,500,750
939335,Muzzle,"['Action', 'Thriller']",6.465,345,7807,2023-09-29,500,750
615656,Meg 2: The Trench,"['Action', 'Science Fiction', 'Horror']",6.382,3912,398500317,2023-08-02,500,750
385687,Fast X,"['Action', 'Crime', 'Thriller']",7.002,6256,704709660,2023-05-17,500,750
893723,PAW Patrol: The Mighty Movie,"['Family', 'Comedy', 'Adventure', 'Animation']",6.995,537,202231360,2023-09-21,500,750
820525,After Everything,"['Romance', 'Drama']",6.882,989,10644463,2023-09-13,500,750
346698,Barbie,"['Comedy', 'Adventure']",6.928,10950,1447138421,2023-07-19,500,750
732684,Raiders of the Lost Library,"['Action', 'Adventure']",6.0,79,0,2022-10-27,500,708
818511,Overhaul,"['Action', 'Thriller', 'Drama']",6.831,139,0,2023-08-28,500,750
554600,Uri: The Surgical Strike,"['Action', 'Drama', 'War']",7.037,470,0,2019-01-11,500,750
